"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 08:11:47 UTC 2024","Wed Mar 27 08:11:54 UTC 2024","6687","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_suggestions",""
"broken","Wed Mar 27 08:10:57 UTC 2024","Wed Mar 27 08:11:02 UTC 2024","4630","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_owned_from_search",""
"broken","Wed Mar 27 08:12:28 UTC 2024","Wed Mar 27 08:12:33 UTC 2024","4214","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_1_edge","","","test_remove_from_wishlist",""
"passed","Wed Mar 27 08:08:31 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","1517","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_ACS_price_advanced_search",""
"passed","Wed Mar 27 08:11:54 UTC 2024","Wed Mar 27 08:12:03 UTC 2024","8964","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_empty_search",""
"broken","Wed Mar 27 08:12:20 UTC 2024","Wed Mar 27 08:12:24 UTC 2024","3353","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_0_chrome","","","test_remove_from_wishlist",""
"passed","Wed Mar 27 08:08:30 UTC 2024","Wed Mar 27 08:08:31 UTC 2024","313","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_IL",""
"broken","Wed Mar 27 08:10:39 UTC 2024","Wed Mar 27 08:10:43 UTC 2024","3759","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_price_slider",""
"broken","Wed Mar 27 08:08:33 UTC 2024","Wed Mar 27 08:09:20 UTC 2024","47269","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_0_chrome","","","test_add_to_cart",""
"passed","Wed Mar 27 08:08:31 UTC 2024","Wed Mar 27 08:08:31 UTC 2024","219","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_uk",""
"broken","Wed Mar 27 08:12:17 UTC 2024","Wed Mar 27 08:12:20 UTC 2024","3347","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_0_chrome","","","test_add_game_to_wishlist",""
"passed","Wed Mar 27 08:08:30 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","1814","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_DESC_price_advanced_search",""
"passed","Wed Mar 27 08:08:31 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","260","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_us",""
"broken","Wed Mar 27 08:10:05 UTC 2024","Wed Mar 27 08:10:33 UTC 2024","28571","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_2_firefox","","","test_add_to_cart",""
"broken","Wed Mar 27 08:12:24 UTC 2024","Wed Mar 27 08:12:28 UTC 2024","4755","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_1_edge","","","test_add_game_to_wishlist",""
"broken","Wed Mar 27 08:11:07 UTC 2024","Wed Mar 27 08:11:12 UTC 2024","5305","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_price_slider",""
"passed","Wed Mar 27 08:08:30 UTC 2024","Wed Mar 27 08:08:31 UTC 2024","250","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search",""
"broken","Wed Mar 27 08:10:48 UTC 2024","Wed Mar 27 08:10:52 UTC 2024","4489","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_wishlist_from_search",""
"passed","Wed Mar 27 08:08:31 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","516","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_default_app_review_number",""
"passed","Wed Mar 27 08:08:32 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","172","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_get_app_review",""
"broken","Wed Mar 27 08:11:02 UTC 2024","Wed Mar 27 08:11:07 UTC 2024","5000","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_wishlist_from_search",""
"passed","Wed Mar 27 08:08:32 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","219","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_app_review_language",""
"passed","Wed Mar 27 08:08:32 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","187","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_max_play_time",""
"broken","Wed Mar 27 08:09:21 UTC 2024","Wed Mar 27 08:10:05 UTC 2024","44044","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_1_edge","","","test_add_to_cart",""
"passed","Wed Mar 27 08:12:03 UTC 2024","Wed Mar 27 08:12:10 UTC 2024","7081","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_result",""
"passed","Wed Mar 27 08:08:32 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","282","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_min_play_time",""
"broken","Wed Mar 27 08:10:52 UTC 2024","Wed Mar 27 08:10:57 UTC 2024","4829","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_price_slider",""
"passed","Wed Mar 27 08:08:32 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","267","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_range_of_play_time",""
"passed","Wed Mar 27 08:11:31 UTC 2024","Wed Mar 27 08:11:40 UTC 2024","9560","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_empty_search",""
"passed","Wed Mar 27 08:08:31 UTC 2024","Wed Mar 27 08:08:31 UTC 2024","171","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_name",""
"passed","Wed Mar 27 08:11:20 UTC 2024","Wed Mar 27 08:11:25 UTC 2024","5519","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_search_result",""
"broken","Wed Mar 27 08:10:36 UTC 2024","Wed Mar 27 08:10:39 UTC 2024","3319","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_wishlist_from_search",""
"passed","Wed Mar 27 08:08:32 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","235","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_default_app_review_number",""
"broken","Wed Mar 27 08:10:33 UTC 2024","Wed Mar 27 08:10:36 UTC 2024","2852","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_owned_from_search",""
"passed","Wed Mar 27 08:08:31 UTC 2024","Wed Mar 27 08:08:31 UTC 2024","767","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search_found_apps",""
"passed","Wed Mar 27 08:11:25 UTC 2024","Wed Mar 27 08:11:31 UTC 2024","5283","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_search_suggestions",""
"broken","Wed Mar 27 08:12:37 UTC 2024","Wed Mar 27 08:12:42 UTC 2024","4527","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_2_firefox","","","test_remove_from_wishlist",""
"passed","Wed Mar 27 08:08:30 UTC 2024","Wed Mar 27 08:08:31 UTC 2024","407","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_advanced_search",""
"passed","Wed Mar 27 08:11:40 UTC 2024","Wed Mar 27 08:11:47 UTC 2024","6992","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_result",""
"passed","Wed Mar 27 08:12:10 UTC 2024","Wed Mar 27 08:12:17 UTC 2024","7167","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_suggestions",""
"passed","Wed Mar 27 08:08:32 UTC 2024","Wed Mar 27 08:08:32 UTC 2024","172","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"broken","Wed Mar 27 08:12:33 UTC 2024","Wed Mar 27 08:12:37 UTC 2024","4491","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_2_firefox","","","test_add_game_to_wishlist",""
"passed","Wed Mar 27 08:11:12 UTC 2024","Wed Mar 27 08:11:20 UTC 2024","7696","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_empty_search",""
"broken","Wed Mar 27 08:10:43 UTC 2024","Wed Mar 27 08:10:48 UTC 2024","4679","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_owned_from_search",""
